0xE2B52Fc1ad49B93F85C45315EcbAd740f17B0e8E,7.54902958455748E+022,10.47%
0xDeBdaF2390372E715C7F396559d1BbE1b69B53AD,1.25715286717342E+022,1.74%
0x15eCd31318fa645B6496F1f21b22Ebfe3AD0c865,2.08299461333551E+022,2.89%
0xE380c7FE194cF2afE3477044D3c6F5D4f82343a7,3.55082309709993E+022,4.93%
0x0B641c4437949026414435AB98C0239Dd9540632,4.58260215555946E+021,0.64%
0xD1392266409e64B16441A9eabAadcff4eECeD219,3.05600632672335E+020,0.04%
0x13445a6E17f1e6Cf4E0F7632a864828171721791,4.21354015813071E+021,0.58%
0x157D507f0e0Ae9d095FbaEc1B525B511467f0fF7,5.08902740870367E+020,0.07%
0x23b6d8e09CB33B1550DE19aC25cC3F41ae4603Bb,1.21137670341502E+022,1.68%
0xf203F8e920922891e5e345d57ED5ff09CE30071B,6.68616286872612E+022,9.27%
0x49F3a12fDc89E4159e211966AD1A1Da6E04dfBDd,2.42904502614756E+021,0.34%
0xe65E325a095326212259B8d12145d63D1154e89d,9.56499279369513E+020,0.13%
0x12db4993126eBcd26E8dFeF76Fe3aE539b47f25b,1.31820406565896E+021,0.18%
0xFdbBfB0Fe2986672af97Eca0e797D76A0bbF35c9,1.40477121178551E+023,19.49%
0xeba06532a72bec44A1d33130aaa7C45c31e502F6,6.67331329837126E+021,0.93%
0x205669Fa4CDF409e43af187a25673d1d571E2326,1.51858308797092E+023,21.06%
0x5299C7D2b73B6A96231081DabFD54DfCc84feDEB,8.37817077329366E+021,1.16%
0x7807415c4aB78c87854F286f4Acee8b1920C84A1,2.91804827176014E+022,4.05%
0x4a37490b9349A17997008047a2FF0c25a45A88ED,1.03803797995581E+023,14.40%
0x1c85d6Ae1336D0e4E3F165bbfA9641bfA04CeDb1,7.33136490302548E+020,0.10%
0x75e546215545F4F486BaB0C2fFE180e62A30B4A3,3.91620092035526E+020,0.05%
0xD11eA24e640650727040C34A71cC89e4F8Ed1c8C,1.66041561362139E+021,0.23%
0x21E5731BfA87Bd7f8a6aBc63504f8000c0ceD992,1.99144E+021,0.28%
0xEe848A515B6dA28E21D26021898AE0e14b256db1,3.68227773280439E+022,5.11%
0x6BDa0404288459CdC35B95A0162636088DCCBee8,2.28628327775252E+019,0.00%
0x0d313261953F41037Ff6B2a03749d7056ea93Cac,8.11574299463292E+020,0.11%
0x64b238b98C80C7f9bd598c308D46C69407227Cd2,9.32821391538443E+019,0.01%
0xfe6701687211BbdDb3cF1f12b24016e636acF593,3.3333730884747E+020,0.05%
,,
TOTAL,7.2092143226622E+023,100.00%
